Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Euro Zone,Price / Euro Zone,Compare At Price / Euro Zone,Included / International,Price / International,Compare At Price / International,Status
copy-of-egetalique-netus-vulputate,,,,,,,,,Coral,,,,,NHFL5-14,0.0,shopify,0,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_h.jpg?v=1687329937,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_h.jpg?v=1687329937,kg,,,,,,,,,,,,,
copy-of-egetalique-netus-vulputate,,,,,,,,,Pink,,,,,NHFL5-14,0.0,shopify,0,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_35884df0-98db-4d0c-8ca8-41b2080f842a.jpg?v=1687329937,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06_35884df0-98db-4d0c-8ca8-41b2080f842a.jpg?v=1687329937,kg,,,,,,,,,,,,,
copy-of-egetalique-netus-vulputate,,,,,,,,,Blue,,,,,NHFL5-14,0.0,shopify,0,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/07_212a6a7b-f770-4d93-b53e-ce1d641d6f5d.jpg?v=1687329937,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/07_212a6a7b-f770-4d93-b53e-ce1d641d6f5d.jpg?v=1687329937,kg,,,,,,,,,,,,,
copy-of-egetalique-netus-vulputate,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/08_0204346b-4a9a-4b0e-92de-5b0e6cfb13b3.jpg?v=1687329937,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-egetalique-netus-vulputate,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/09.jpg?v=1687329937,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-adipiscing-sem-1,Eshvi London Lips Pink Earrings Gold,"<p><span class=""MuiBox-root jss8118 innerWrapText"">Elegant and comfy, this embroidered A-line dress which has a round neck, and three-quarter sleeves is all you need to ensure your wardrobe is up to date. B</span><span>rowse through the latest collection of various ethnic dresses with cap sleeve sleeve designs to give a flawless desi look. Stay up to date with the great selection of attractive traditional ethnic dresses made with the perfect blend and modern style.</span></p>
<h4><strong>Sample Unordered List</strong></h4>
<ul>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremou.</li>
</ul>
<h4><strong>Sample Ordered Lista</strong></h4>
<ol>
<li>Comodous in tempor ullamcorper miaculis</li>
<li>Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li>Divamus sit amet purus justo.</li>
<li>Proin molestie egestas orci ac suscipit risus posuere loremous</li>
</ol>
<h4><strong>Sample Paragraph Text</strong></h4>
<blockquote>
<p>Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summer!Faded short sleeves t-shirt with high neckline. Soft and stretchy material for a comfortable fit. Accessorize with a straw hat and you're ready for summe!</p>
</blockquote>",PUMA,,Bags,"Cotton, Summer, Time_2025/05/12 20:30:00, Trends, Vintage",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,90.00,97.00,true,true,UPC,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/02_fc6eaf44-3590-4cd0-bdfa-a55682b1c03b.jpg?v=1687329700,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,true,,,active
copy-of-adipiscing-sem-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/02_h.jpg?v=1687329700,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-adipiscing-sem-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/03_db68b505-4939-436e-a7ea-21352f912270.jpg?v=1687329700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-adipiscing-sem-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_b10d795d-ffba-41dd-b4a3-8652d7d781d9.jpg?v=1687329700,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-adipiscing-sem-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/05_9f052d8d-41eb-4e11-b24e-ac45c33eade5.jpg?v=1687329700,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-adipiscing-sem-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/06.jpg?v=1687329700,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-egetalique-netus-penatibus,Contemporary diamond ring,"<span class=""MuiBox-root jss3821 innerWrapText"">An ideal pick for a casual wardrobe, this trendy t-shirt is designed with bold tropical prints, short sleeves and a round neckline.<span class=""MuiBox-root jss8118 innerWrapText"" data-mce-fragment=""1"">Elegant and comfy, this embroidered A-line dress which has a round neck, and three-quarter sleeves is all you need to ensure your wardrobe is up to date. B</span><span data-mce-fragment=""1"">rowse through the latest collection of various ethnic dresses with cap sleeve sleeve designs to give a flawless desi look. Stay up to date with the great selection of attractive traditional ethnic dresses made with the perfect blend and modern style.</span></span>
<ul class=""jss3817"">
<li>Type : Tees</li>
<li>Design : Printed</li>
<li>Neckline : Round Neck</li>
<li>Style : Casual</li>
<li>Sleeve Length : Half Sleeves</li>
<li>Fabric : Cotton</li>
<li>Care Instructions : Machine Wash</li>
<li>Model Wears : Size S,has Height 5'7"" and Chest 33""</li>
<li>Return Policy : This product is returnable within 30 days of delivery</li>
<li>Product : T-shirt</li>
<li>Country of Origin : India</li>
<li>Net Quantity : 1500</li>
</ul>",Levi’s,,Clothing,"Clothing, Cotton, Fashion, Summer, Vintage",true,Color,Darkcyan,Size,Small,,,NHFL5,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/03_f9a8fed3-2d1f-4fff-a600-54e95e033c24.jpg?v=1687329763,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/03_f9a8fed3-2d1f-4fff-a600-54e95e033c24.jpg?v=1687329763,kg,,,true,true,,,true,,,true,,,active
copy-of-egetalique-netus-penatibus,,,,,,,,,Darkcyan,,Medium,,,NHFL51,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/03_h.jpg?v=1687329764,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/03_h.jpg?v=1687329764,kg,,,,,,,,,,,,,
copy-of-egetalique-netus-penatibus,,,,,,,,,Darkcyan,,Large,,,NHFL52,0.0,shopify,200,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_d71958cd-058d-4dc5-8a57-df8cf7caa507.jpg?v=1687329764,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/0220/9599/files/04_d71958cd-058d-4dc5-8a57-df8cf7caa507.jpg?v=1687329764,kg,,,,,,,,,,,,,
